"","MPG","Weight","Cylinders","Gears","Displacement","Horsepower","AxleRatio","NVratio","Transmission","DriveSystem","FuelType"
"396",24.9,4500,6,8,3,320,3.08,24.6,"SA","R","Unleaded"
"397",22,4250,8,7,3.982,469,2.82,27,"A","R","Unleaded"
"398",39.5,2625,4,4,1.497,106,4.24,43.4,"A","F","Unleaded"
"399",21.3,5000,6,8,3.3,365,3.54,25.6,"SA","R","Unleaded"
"400",35.1,3500,4,7,1.6,178,3.17,30.4,"SA","F","Unleaded"
"401",16.3,6000,8,6,5.663,381,4.3,27.5,"A","R","Unleaded"
"402",33.3,3375,4,7,1.6,201,3.61,35.9,"SA","F","Unleaded"
"403",22,4000,4,5,2.5,152,3.92,37.6,"A","R","Unleaded"
"404",37.5,2750,4,6,1.6,130,4.06,40.6,"M","F","Unleaded"
"405",36.3,3500,4,7,1.6,178,3.17,30.3,"SA","F","Unleaded"
"406",23,5000,6,8,3.6,295,3.45,26.4,"A","4","Unleaded"
"407",25.3,5000,4,8,1.969,316,3.33,26.6,"SA","F","Unleaded"
"408",28.9,4500,4,8,1.969,250,3.33,27.6,"SA","F","Unleaded"
"409",35.6,3750,4,8,2.487,206,2.8,24.7,"A","F","Unleaded"
"410",29.4,5500,4,8,2,240,3.15,24.1,"SA","R","Unleaded"
"411",26.1,4500,4,9,2,250,4.54,26,"SA","A","Unleaded"
"412",33.1,3875,4,1,2.5,170,5.38,25,"CVT","F","Unleaded"
"413",24.4,4500,6,9,2.996,362,3.07,24.5,"A","R","Unleaded"
"414",27.7,4000,4,8,2,272,2.85,25.4,"SA","R","Unleaded"
"415",19.5,6000,8,8,5.3,345,3.42,24.2,"A","R","Unleaded"
"416",33.7,3375,4,6,1.6,188,4.44,38.1,"M","F","Unleaded"
"417",25.7,4250,6,8,3.6,335,3.27,29.1,"SA","R","Unleaded"
"418",27.8,4500,4,8,2,248,3.38,26.1,"SA","A","Unleaded"
"419",19.7,5250,6,6,3.5,355,3.16,28.1,"SA","A","Unleaded"
"420",29.6,3875,4,6,1.984,252,3.56,32.2,"M","A","Unleaded"
